book_a;book_b;count
0439064864;0439136350;77
0439136350;0439064864;77
0439064864;0590353403;71
0590353403;0439064864;71
0439136350;0439139597;70
0439139597;0439136350;70
0439139597;0439064864;64
0439064864;0439139597;64
059035342X;0439064872;63
0439064872;059035342X;63
0590353403;0439136350;62
0439136350;0590353403;62
0345313860;0345337662;53
0345337662;0345313860;53
0439136350;043935806X;50
0439139597;043935806X;50
043935806X;0439139597;50
0439064864;043935806X;50
043935806X;0439136350;50
043935806X;0439064864;50
0385504209;0316666343;48
0316666343;0385504209;48
0345351525;0345313860;47
0345313860;0345351525;47
0590353403;0439139597;47
0671027360;0385504209;47
0385504209;0671027360;47
0439139597;0590353403;47
0439064872;0439136369;46
0439136369;0439064872;46
0312966091;0671001795;42
0439136369;059035342X;42
059035342X;0439136369;42
0671001795;0312966091;42
0345337662;0345351525;40
0671001795;0312966970;40
0345351525;0345337662;40
0312966970;0671001795;40
0312971346;0312966091;39
034538475X;0345313860;39
0345313860;034538475X;39
0316666343;0446672211;39
0312966091;0312971346;39
0446672211;0316666343;39
0312966970;0312971346;39
0312971346;0312966970;39
0312966091;0312966970;38
0312971346;0312976275;38
043935806X;0590353403;38
0312966970;0312966091;38
0312976275;0312971346;38
0590353403;043935806X;38
0345337662;034538475X;37
0842329129;0842329218;37
0440214041;044021145X;37
0842329218;0842329129;37
044021145X;0440214041;37
034538475X;0345337662;37
0345351525;034538475X;36
043935806X;059035342X;36
034538475X;0345351525;36
059035342X;043935806X;36
0439139600;043935806X;35
0345339738;0345339711;35
0439139600;0439064872;35
0345339711;0345339738;35
043935806X;0439139600;35
0439064872;0439139600;35
0312966970;0312976275;34
0842329218;0842329242;34
0312976275;0312966970;34
0440214041;0440211727;34
0842329242;0842329218;34
0440211727;0440214041;34
0385335482;0385335881;33
0345339703;0345339738;33
0842329250;0842329218;33
0439139600;0439136369;33
0385335881;0385335482;33
0439136369;0439139600;33
0345339738;0345339703;33
0842329218;0842329250;33
0743418174;0316666343;32
0671001795;0061009059;32
051513287X;0515132020;32
0515131229;0515132020;32
0515131229;051513287X;32
0061009059;0671001795;32
0316666343;0743418174;32
051513287X;0515131229;32
0515132020;0515131229;32
0515132020;051513287X;32
0345339703;0345339711;31
0345339711;0345339703;31
0842329250;0842329242;30
0316666343;0316096199;30
0515136530;0515136379;30
0842329242;0842329250;30
0316096199;0316666343;30
0440212561;0440215625;30
0312976275;0312966091;30
0515136379;0515136530;30
0312966091;0312976275;30
0440215625;0440212561;30
0515128546;0515128554;29
0671001795;0312971346;29
0060928336;0060976845;29
0060976845;0060928336;29
0312971346;0671001795;29
0842329129;0842329242;29
059035342X;0439139597;29
0515128554;0515128546;29
0842329242;0842329129;29
0439139597;059035342X;29
0316666343;0142001740;28
0312195516;0452282152;28
0142001740;0316666343;28
1400031354;1400034779;28
1400034779;1400031354;28
0312195516;0316666343;28
0312966970;0312980140;28
0312980140;0312966970;28
0064407675;0064407667;28
0452282152;0312195516;28
0316666343;0312195516;28
0064407667;0064407675;28
0345339703;0345339681;27
043935806X;0439136369;27
0671003755;0316666343;27
0345339681;0345339703;27
0671001795;0312980140;27
0385504209;0312195516;27
0312980140;0671001795;27
0440213525;0440211727;27
0312195516;0385504209;27
0440211727;0440213525;27
0439136369;043935806X;27
0316666343;0671003755;27
0439139600;059035342X;27
059035342X;0439139600;27
0142001740;0385504209;26
0312966091;0061009059;26
0515128554;0515126772;26
0440217563;0440215625;26
0156027321;0316666343;26
0316666343;0156027321;26
0515128546;0515126772;26
0312971346;0312980140;26
0316666343;0312278586;26
0440215625;0440217563;26
0515126772;0515128546;26
0515126772;0515128554;26
0440211727;044021145X;26
0316601950;0316666343;26
0312278586;0316666343;26
0385504209;0142001740;26
0312980140;0312971346;26
0061009059;0312966091;26
044021145X;0440211727;26
0316666343;0316601950;26
044021145X;0440220602;25
044021145X;0440213525;25
0786868716;0385484518;25
044021145X;044022165X;25
0439136350;059035342X;25
0385484518;0786868716;25
0440213525;0440214041;25
0440213525;044021145X;25
0439064872;043935806X;25
0671021001;0316666343;25
0440220602;044021145X;25
044022165X;044021145X;25
0842329269;0842329242;25
059035342X;0439136350;25
1400031362;1400031354;25
0312980140;0312966091;25
0060928336;0316666343;25
0842329242;0842329269;25
043935806X;0439064872;25
0671001795;0312990456;25
0312976275;0312980140;25
0312966091;0312980140;25
0312980140;0312976275;25
1400031354;1400031362;25
0312990456;0671001795;25
0440214041;0440213525;25
0553250531;0553250426;24
0553250426;0553250531;24
0451190548;0451190491;24
0440217563;0440212561;24
0811801802;0877017883;24
0345339738;0345339681;24
0345339681;0345339738;24
0451190491;0451190564;24
0440212561;0440217563;24
0451190564;0451190491;24
0877017883;0811801802;24
0451190491;0451190548;24
0312976275;0671001795;24
0671001795;0312976275;24
0385504209;0786868716;23
0312924585;0440206154;23
0553284789;0553279556;23
0440206154;0312924585;23
0553280341;0553279912;23
0553279556;0553284789;23
0446611212;0446605484;23
0064407683;0064407667;23
0786868716;0385504209;23
0449221512;0449221482;23
0446605484;0446611212;23
0449221482;0449221512;23
0553279912;0553280341;23
0064407667;0064407683;23
067976402X;0316666343;23
1558745157;1558743669;22
0553271636;0553279556;22
0316284955;0316666343;22
0345339711;0345339681;22
0842329250;0842329269;22
0385335881;0385336179;22
0553271636;0553280341;22
0553284789;0449219364;22
0553279556;0553271636;22
0385336179;0385335881;22
0451190564;0451190548;22
1558743669;1558745157;22
0451190548;0451190564;22
0316601950;0446672211;22
0451190548;0451190521;22
0345339681;0345339711;22
0842329269;0842329250;22
0553280341;0553271636;22
0449219364;0553284789;22
0451190521;0451190548;22
0446672211;0316601950;22
0553280341;0553280368;22
0553280368;0553280341;22
0449219364;0449219461;21
0425154092;0425147622;21
034540288X;0345370775;21
0060928336;0312195516;21
0842329129;0842329250;21
0439064864;059035342X;21
0312195516;0316601950;21
051513628X;0515136530;21
0440220602;0440213525;21
0312195516;0060928336;21
0786868716;0316666343;21
0440213525;0440220602;21
059035342X;0439064864;21
0553280341;0553284789;21
0385265700;0316666343;21
0060928336;0446672211;21
0345370775;034540288X;21
0515136530;051513628X;21
0842329250;0842329129;21
051513628X;0515136379;21
0425147622;0425154092;21
0446672211;0060928336;21
0449219461;0449219364;21
0553284789;0553280341;21
0316601950;0312195516;21
0515136379;051513628X;21
0553279556;0553280341;20
0842329269;0842329218;20
0451190556;0451190491;20
0312195516;0060930535;20
0441000916;0441002935;20
0449221512;0553279556;20
0449221512;0553284789;20
0553280341;0553279556;20
0452282152;0316666343;20
0385504209;0156027321;20
0441002935;0441000916;20
0312195516;0446672211;20
0446310786;0316769487;20
0451190491;0451190556;20
0842329218;0842329269;20
0345337662;0345384466;20
0451190556;0451190521;20
0312983867;0312976275;20
0316769487;0316666343;20
0312980140;0312983867;20
0451190556;0451190548;20
0316769487;0446310786;20
0312976275;0312983867;20
0156027321;0385504209;20
0451190548;0451190556;20
0451190521;0451190556;20
0553279556;0449221512;20
0553284789;0449221512;20
0451190521;0451190564;20
0671027360;0671027387;20
0312983867;0312980140;20
0446672211;0312195516;20
0451190564;0451190521;20
0060930535;0312195516;20
0671027387;0671027360;20
0345384466;0345337662;20
0449219364;0553280341;19
0553284789;0553271636;19
0312966970;0312990456;19
0452282152;0142001740;19
044021145X;0440224764;19
0375727345;0316666343;19
0440224764;044021145X;19
0553280341;0449219364;19
0345384466;034538475X;19
0060976845;0316666343;19
0441002935;0441004520;19
0451190521;0451190491;19
0312195516;0743418174;19
0671027360;0312995423;19
0385504209;043935806X;19
0142001740;0743418174;19
044022425X;0440215625;19
0425154092;0380718332;19
0449219364;0449221512;19
0425163407;0425154092;19
0743418174;0312195516;19
0312990456;0312966970;19
0743418174;0142001740;19
034538475X;0345384466;19
0440220602;0440214041;19
0449221512;0449219364;19
0440220602;044022165X;19
044022165X;0440214041;19
0439139600;0439064864;19
0312995423;0671027360;19
0553271636;0553284789;19
0440214041;044022165X;19
0439064864;0439139600;19
044022165X;0440220602;19
0142001740;0452282152;19
0142001740;0786868716;19
0440214041;0440220602;19
0786868716;0142001740;19
0451190491;0451190521;19
0380718332;0425154092;19
043935806X;0385504209;19
0142000205;0316666343;19
0441004520;0441002935;19
0425154092;0425163407;19
0440215625;044022425X;19
0449219461;0553279556;18
0064407683;0064407675;18
014028009X;0446672211;18
0553279556;0449219461;18
0553250531;0553289411;18
0440226430;0316666343;18
0156027321;0452282152;18
0375706771;0316666343;18
0061009059;0312976275;18
0061009059;0312971346;18
0375706771;0375727345;18
0449219364;0553279556;18
044023722X;0316666343;18
0441001971;0441003745;18
0451163524;0451160525;18
0375727345;067976402X;18
0316776963;0316666343;18
0842329250;0842329277;18
0440224675;0440206154;18
0842329269;0842329129;18
0842329277;0842329250;18
0451190572;0451190548;18
0440221471;044021145X;18
0441003745;0441001971;18
0515131229;0515128554;18
067976402X;0375727345;18
0441001971;0441002935;18
0451190564;0451190556;18
0449221512;0449219461;18
0312983867;0312971346;18
0441003745;0441002935;18
0440206154;0345370775;18
0743418174;0385335482;18
0375727345;0375706771;18
0312976275;0061009059;18
0440206154;0440224675;18
0451190548;0451190572;18
0064407675;0064407683;18
0345370775;0440206154;18
0440211727;0440220602;18
0385335482;0743418174;18
044021145X;0440221471;18
0451160525;0451163524;18
014025448X;0140254544;18
043935806X;0316666343;18
1400034779;1400031362;18
0446605239;0446608955;18
0375726403;0316666343;18
034538475X;0345409671;18
0842329129;0842329269;18
0452282152;0385504209;18
0441002935;0441003745;18
0449219461;0449221512;18
0452282152;0156027321;18
0451190556;0451190564;18
0140254544;014025448X;18
0515128554;0515131229;18
0440220602;0440211727;18
0441002935;0441001971;18
0440221471;0440214041;18
0440214041;0440221471;18
0553279556;0449219364;18
0553289411;0553250531;18
0312971346;0312983867;18
0446608955;0446605239;18
051512317X;0515121843;18
0515121843;051512317X;18
1400031362;1400034779;18
0345409671;034538475X;18
0446672211;014028009X;18
0312971346;0061009059;18
0385504209;0452282152;18
0452282829;0743237188;17
0553213172;0553213148;17
0842329277;0842329218;17
0312966970;0061009059;17
0312983867;0312966091;17
0312983867;0312966970;17
0440224764;0440236673;17
0375726403;0312195516;17
0345353145;0345370775;17
0440224764;0440220602;17
0441005241;0441002935;17
0060987103;0060987529;17
0385504209;0446310786;17
0553280945;0553250531;17
0385504209;0971880107;17
0345409671;0345337662;17
0446310786;0385504209;17
0312966091;0312983867;17
0345370775;0312924585;17
0553250531;0553280945;17
0553280368;0553279556;17
044021145X;044023722X;17
0312278586;0385335482;17
0312966970;0312983867;17
0375706771;0316601950;17
0451190521;0451190572;17
0060934417;0316666343;17
0515132020;0515128546;17
044022425X;0440212561;17
0515132020;0515126772;17
0060928336;0671021001;17
0553280368;0553271636;17
0451190572;0451190521;17
0553280368;0553279912;17
0553279912;0553280368;17
0449219364;0553271636;17
0312195516;0142001740;17
0316601950;0375727345;17
0439136350;0439139600;17
0451190572;0451190491;17
0441001971;0441000916;17
0440220602;0440224764;17
0971880107;0316666343;17
0441002935;0441005241;17
0553279556;0553280368;17
0441004520;0441000916;17
0553213148;0553213172;17
0441000916;0441001971;17
0441000916;0441004520;17
0440221471;044022165X;17
0385335482;0312278586;17
0515126772;0515132020;17
0061009059;0312966970;17
0060987529;0060987103;17
0553284789;0449219461;17
0971880107;0385504209;17
044022165X;0440221471;17
0515128546;0515132020;17
0440211727;0316666343;17
0811802981;0877017883;17
0449219461;0553284789;17
0743237188;0452282829;17
0312924585;0345370775;17
0446672211;0671003755;17
0553271636;0449219364;17
0345370775;0345353145;17
0440236673;0440224764;17
0842329242;0842332251;17
044023722X;044021145X;17
0375727345;0316601950;17
0671003755;0446672211;17
0440212561;044022425X;17
0842329218;0842329277;17
0451190491;0451190572;17
0877017883;0811802981;17
0316601950;0375706771;17
0439139600;0439136350;17
0553271636;0553280368;17
0842332251;0842329242;17
0345337662;0345409671;17
0060930535;0316666343;17
0142001740;0312195516;17
0671021001;0060928336;17
0446531332;0316666343;17
0312195516;0375726403;17
0449219461;0553280368;16
0375707972;0312195516;16
0446610038;0446612790;16
0142001740;0156027321;16
0451190572;0451190564;16
0451190564;0451190572;16
0345370775;0345337662;16
0385722206;0312195516;16
0671027360;0316666343;16
0064471055;0064471063;16
0439139597;0439136369;16
0811802981;0811801802;16
0440213525;0440221471;16
0553280341;0449221512;16
0842332251;0842329129;16
0440236673;044023722X;16
0439139597;0439064872;16
0842332251;0842329218;16
0156027321;0142001740;16
0439064872;0439139597;16
0452282152;0060928336;16
0385505833;0316666343;16
0743418174;0385504209;16
0451173317;0451163524;16
0449221482;0553284789;16
0060987103;0316666343;16
0345337662;0345370775;16
0142000205;0375727345;16
0553271636;0449221512;16
0553271636;0449219461;16
0375706771;0312195516;16
044021145X;067976402X;16
0449221512;0553280341;16
0804106304;080410753X;16
059035342X;0385504209;16
0449221512;0553271636;16
0451190556;0451190572;16
0449219461;0553271636;16
0515121843;0515124214;16
044023722X;0440236673;16
068484477X;0316666343;16
0312966091;0312990456;16
0441002935;0441005748;16
0312990456;0312966091;16
059035342X;044021145X;16
0151008116;0316666343;16
0060928336;0375727345;16
0451190572;0451190556;16
044021145X;059035342X;16
0446605484;0446610038;16
0446672211;0671021001;16
0385335482;0385336179;16
0446310786;0316666343;16
0446612790;0446610038;16
0425147622;0425163407;16
0312305060;0312195516;16
0804106304;0316666343;16
0375727345;0060928336;16
0440221471;0440213525;16
0451163524;0451173317;16
0316569321;0316666343;16
0515124214;051512317X;16
0671003755;0385504209;16
0553280368;0449219364;16
0064471063;006447108X;16
067976402X;044021145X;16
0553280368;0449219461;16
0446610038;0446605484;16
0446605239;0316666343;16
0375706771;0060930535;16
0441005748;0441002935;16
0060930535;0375706771;16
0439136369;0439139597;16
0449219364;0553280368;16
0515124214;0515121843;16
0441004520;0441001971;16
0811801802;0811802981;16
0553284789;0449221482;16
0452282829;0375727345;16
0440234743;0385504209;16
080410753X;0804106304;16
0786868716;0743418174;16
0064471063;0064471055;16
0743418174;0786868716;16
